process_id,default_lane_or_policy,allowed,schema,source,recommended_logical_policy,notes
holding_protection_advisor,manual,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
holding_protection_advisor_batch,manual,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
broker_cloud_oversight,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
cloud_review,automated,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
oauth_lane_keepalive,automated,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
rotation_grok_review,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
rotation_oversight,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
watchlist_cio_synthesis,manual,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
watchlist_maria_priority,automated,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
paper_trade_advisory,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
hermes_external_research,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
multi_tier_trade_reviewer,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
reporting_grok_editorial,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
portfolio_weekly_report,automated,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
portfolio_monthly_report,automated,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
directive_keyword_enhancer,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
think_tank_signal_miner,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
hermes_scalp_review,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
portfolio_ask,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
journal_ask,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
strategy_planner,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
options_ensemble,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
cloud_consensus_verdict,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
stop_drift_alert,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
hermes_analyst_coverage,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
watchlist_entry_planner,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
grok_execution_review,,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
unregistered,automated,[],,config/llm_process_registry.json,,registry vocabulary at 72b6ddd2 — not yet Flash/Pro logical policies
