path,size,ext,bucket,linked,dup_of,disposition
openclaw_aegis_morning_brief_2026-05-29.md,3362,.md,HISTORICAL-REPORT,False,,ARCHIVE
openclaw_aegis_morning_brief_2026-05-27.md,3327,.md,HISTORICAL-REPORT,False,,ARCHIVE
GPU_OLLAMA_SETUP.md,3806,.md,AUTHORITATIVE,True,,RETAIN
openclaw_aegis_morning_brief_2026-05-25.md,3303,.md,HISTORICAL-REPORT,True,,ARCHIVE
OPERATOR_RUNBOOK_LLM_v4_1_FINAL.md,8840,.md,AUTHORITATIVE,True,,RETAIN
LLM_DATA_DICTIONARY.md,9057,.md,AUTHORITATIVE,True,,RETAIN
MONDAY_BURNIN_CHECKLIST.md,1936,.md,AUTHORITATIVE,True,,RETAIN
DOCS_ROSTER.md,16279,.md,AUTHORITATIVE,True,,RETAIN
CHEAT_SHEET.md,21202,.md,AUTHORITATIVE,True,,RETAIN
COMMAND_CENTER_PAGE_MATRIX.md,12954,.md,AUTHORITATIVE,True,,RETAIN
LLM_FLEET_STRATEGY_v4_1_FINAL.md,57581,.md,AUTHORITATIVE,True,,RETAIN
APPENDIX_E_SCRIPT_ROUTING_MATRIX.md,5363,.md,AUTHORITATIVE,True,,RETAIN
AGENT_ROSTER.md,6715,.md,AUTHORITATIVE,True,,RETAIN
openclaw_aegis_morning_brief_2026-05-31.md,3103,.md,HISTORICAL-REPORT,False,,ARCHIVE
A1A.md,4105,.md,AUTHORITATIVE,True,,RETAIN
RESTORE_GUIDE.md,11078,.md,AUTHORITATIVE,True,,RETAIN
EXECUTIVE_ARCHITECTURE_OVERVIEW.md,6544,.md,AUTHORITATIVE,True,,RETAIN
openclaw_aegis_morning_brief_2026-05-26.md,3323,.md,HISTORICAL-REPORT,False,,ARCHIVE
openclaw_aegis_morning_brief_2026-05-30.md,3241,.md,HISTORICAL-REPORT,False,,ARCHIVE
openclaw_aegis_morning_brief_2026-06-01.md,3262,.md,HISTORICAL-REPORT,False,,ARCHIVE
openclaw_aegis_morning_brief_2026-06-02.md,3339,.md,HISTORICAL-REPORT,False,,ARCHIVE
MASTER_SYSTEM_DOCUMENTATION.md,119629,.md,AUTHORITATIVE,True,,RETAIN
DASHBOARD_AUDIT_WORKFLOW.md,1847,.md,AUTHORITATIVE,True,,RETAIN
openclaw_aegis_morning_brief_2026-05-28.md,3357,.md,HISTORICAL-REPORT,False,,ARCHIVE
AGENT_PAGES_DETAIL.md,13015,.md,AUTHORITATIVE,True,,RETAIN
COST_MODEL.md,8798,.md,AUTHORITATIVE,True,,RETAIN
maturity_hardening/phase_readiness_latest.json,1184,.json,SNAPSHOT-DUMP,False,,DELETE
maturity_hardening/maturity_control_board_latest.json,2601,.json,SNAPSHOT-DUMP,False,,DELETE
maturity_hardening/operator_readiness_latest.json,901,.json,SNAPSHOT-DUMP,False,,DELETE
maturity_hardening/phase_readiness_latest.md,687,.md,HISTORICAL-REPORT,True,,ARCHIVE
maturity_hardening/operator_readiness_latest.md,326,.md,HISTORICAL-REPORT,True,,ARCHIVE
maturity_hardening/maturity_control_board_latest.md,1027,.md,HISTORICAL-REPORT,True,,ARCHIVE
maturity_hardening/post_stop_v2_maturity_refresh/post_stop_v2_scoring_rationale.md,1475,.md,HISTORICAL-REPORT,True,,ARCHIVE
maturity_hardening/post_stop_v2_maturity_refresh/post_stop_v2_unified_supervisor_verification.json,4753,.json,SNAPSHOT-DUMP,False,,DELETE
maturity_hardening/post_stop_v2_maturity_refresh/post_stop_v2_safety_audit.md,960,.md,HISTORICAL-REPORT,True,,ARCHIVE
maturity_hardening/post_stop_v2_maturity_refresh/post_stop_v2_operator_readiness_summary.md,951,.md,HISTORICAL-REPORT,True,,ARCHIVE
maturity_hardening/post_stop_v2_maturity_refresh/00_README.md,323,.md,HISTORICAL-REPORT,True,,ARCHIVE
maturity_hardening/post_stop_v2_maturity_refresh/post_stop_v2_maturity_board.md,3002,.md,HISTORICAL-REPORT,True,,ARCHIVE
maturity_hardening/post_stop_v2_maturity_refresh/post_stop_v2_reconciliation_verification.md,693,.md,HISTORICAL-REPORT,True,,ARCHIVE
maturity_hardening/post_stop_v2_maturity_refresh/post_stop_v2_unified_supervisor_verification.md,403,.md,HISTORICAL-REPORT,True,,ARCHIVE
maturity_hardening/post_stop_v2_maturity_refresh/post_stop_v2_reconciliation_verification.json,2751,.json,SNAPSHOT-DUMP,False,,DELETE
momentum_catalysts/PHASE127_128_CATALYST_QUALITY_AND_SCORING.md,2828,.md,HISTORICAL-REPORT,False,,ARCHIVE
audits/SUPPLY_TRIAGE_2026-05-22.md,8201,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
audits/ATM_APPROVE_FAILED_2026-05-22.md,8598,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
audits/PROPOSAL_SUPPLY_AUDIT_2026-05-22.md,10045,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
audits/STOP_MGMT_DISCOVERY_2026-05-23.md,16723,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
playwright/.gitignore,19,,SNAPSHOT-DUMP,True,,DELETE
playwright/audit_7776_20260524_1225.tgz,137256,.tgz,HEAVY-BINARY,False,,DELETE
playwright/audit_7777_20260601_2348.tgz,22408075,.tgz,HEAVY-BINARY,False,,DELETE
notifications/alert_fatigue_1/00_README.md,1094,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
notifications/alert_fatigue_1/alert_routing_simulation.md,1529,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
notifications/alert_fatigue_1/alert_routing_simulation.json,2858,.json,SNAPSHOT-DUMP,False,,DELETE
notifications/alert_url_fqdn_1/notification_url_simulation.md,624,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
notifications/alert_url_fqdn_1/notification_url_simulation.json,1839,.json,SNAPSHOT-DUMP,False,,DELETE
_trash/live_trading.txt,0,.txt,ALREADY-ARCHIVED,False,,DELETE
_trash/git_status.txt,0,.txt,ALREADY-ARCHIVED,False,,DELETE
_trash/briefs/openclaw_aegis_morning_brief_2026-05-11.md,2255,.md,ALREADY-ARCHIVED,False,,DELETE
_trash/briefs/openclaw_aegis_morning_brief_2026-05-20.md,2954,.md,ALREADY-ARCHIVED,False,,DELETE
