        strategy_id         | cnt | avg_r  
----------------------------+-----+--------
 core_index                 |  59 |  0.234
 cash_or_stable             |  59 |  0.234
 all_signals                |  59 | -0.144
 income_add                 |  59 |  0.234
 tax_loss_harvest           |  59 |  0.234
 international_dividend     |  59 |  0.234
 high_yield_income_bdc      |  59 |  0.234
 earnings_pre_buildup       |  59 |  0.234
 fib_retracement_bounce     |  59 |  0.234
 earnings_post_momentum     |  59 |  0.234
 covered_call_income        |  59 |  0.234
 bond_income                |  59 |  0.234
 momentum_scalp             |  42 |  0.115
 swing_breakout             |  20 |  0.223
 gap_and_go                 |  14 |  0.137
 swing_trade                |  14 | -0.249
 recovery_watch             |  12 | -0.682
 screener                   |   6 |  0.040
 speculative_growth         |   6 |  0.800
 sector_rotation            |   4 |  0.300
 earnings_catalyst          |   2 | -1.000
 dividend_growth_compounder |   2 | -0.150
 core_growth_compounder     |   2 | -1.000
 defense_thesis             |   1 |  1.230
 reit_income                |   1 |  0.160
(25 rows)

