           run_id           | trades | earliest | latest 
----------------------------+--------+----------+--------
 ER_20260521121843_2b3e8e   |     29 |          | 
 ER_20260521121822_32aeb8   |     46 |          | 
 BT_20260521120401_e87a32e6 |     20 |          | 
 BT_20260521120401_afa1608b |      4 |          | 
 BT_20260521120401_aa842d35 |      7 |          | 
 BT_20260521120401_7ecdcd22 |      7 |          | 
 BT_20260521120401_41c8cb7d |      2 |          | 
 BT_20260521120343_d74a180f |     59 |          | 
 BT_20260521120322_f9cf794b |      7 |          | 
 BT_20260521120322_f34884a4 |     59 |          | 
 BT_20260521120322_dc00ba00 |      2 |          | 
 BT_20260521120322_d7bc421c |      4 |          | 
 BT_20260521120322_b936689d |     59 |          | 
 BT_20260521120322_a01b09ea |      1 |          | 
 BT_20260521120322_8be889e8 |     59 |          | 
 BT_20260521120322_6ffbe127 |      7 |          | 
 BT_20260521120322_67765396 |     59 |          | 
 BT_20260521120322_5eafaa57 |     20 |          | 
 BT_20260521120322_5e6e45ff |      3 |          | 
 BT_20260521120322_40693724 |     59 |          | 
 BT_20260521120322_3b0ef8cc |     59 |          | 
 BT_20260521120322_1e2b48f9 |     59 |          | 
 BT_20260521120322_1b9dd6d3 |      4 |          | 
 BT_20260521120322_1b72e059 |      1 |          | 
 BT_20260521120322_1629a4f9 |     59 |          | 
 BT_20260521120322_14aeee0a |     59 |          | 
 BT_20260521120322_122a15b2 |     59 |          | 
 BT_20260521120322_03f83c74 |     59 |          | 
(28 rows)

