 id | symbol |        strategy_id         | entry_price | exit_price |               exit_reason               |        pnl         | stop_loss 
----+--------+----------------------------+-------------+------------+-----------------------------------------+--------------------+-----------
 32 | CMCSA  | dividend_growth_compounder |       24.85 |            | orphan_duplicate_from_partial_fill_race |                    |     23.61
 30 | AGNC   | reit_income                |       10.22 |            | orphan_duplicate_from_partial_fill_race |                    |      9.71
 29 | NVDA   | dividend_growth_compounder |       218.0 |   213.1001 | operator_stop_out                       | -4.899900000000002 |    210.58
 27 | ASPN   | swing_trade                |        5.52 |      6.015 | target_hit                              |             273.74 |      5.15
 26 | ASPN   | swing_trade                |        5.42 |            | closed_on_different_trade_id            |                    |      5.15
 24 | FLYW   | dividend_growth_compounder |       16.29 |      16.45 | stop_hit                                |              27.36 |     15.48
 23 | GCTS   | momentum_scalp             |        1.49 |            | bogus_duplicate_no_exit_price           |                    |          
 22 | GCTS   | momentum_scalp             |        1.49 |       1.37 | stop_hit                                |             -225.0 |      1.42
 21 | INFU   | earnings_catalyst          |        8.61 |       9.34 | target_hit                              |             261.57 |      7.97
 20 | GCTS   | momentum_scalp             |        1.49 |      1.485 | duplicate_of_22                         |                  0 |      1.42
 19 | FLYW   | momentum_scalp             |       16.75 |      16.63 | stop_hit                                |             -20.52 |          
 18 | FLYW   | swing_breakout             |       17.51 |            | tos_paper_counterpart_closed            |                    |     16.63
 17 | FLYW   | swing_breakout             |       17.51 |            | tos_paper_counterpart_closed            |                    |     16.63
 16 | BLBD   | earnings_catalyst          |       68.48 |      68.08 | stop_hit_instant                        |             -14.80 |     76.23
 15 | BLBD   | earnings_catalyst          |       80.24 |      68.08 | closed_on_different_trade_id            |            -449.92 |     76.23
 13 | INFU   | swing_breakout             |        8.39 |       8.58 | manual_stale_close                      |              67.83 |      7.97
 12 | FLYW   | swing_trade                |       16.74 |      16.65 | position_closed_in_alpaca               |             -15.39 |     16.63
 11 | FLYW   | swing_trade                |       17.51 |            | duplicate_unsubmitted_to_broker         |                    |     16.63
 10 | FLYW   | swing_trade                |       17.51 |            | duplicate_unsubmitted_to_broker         |                    |     16.63
  9 | INFU   | earnings_catalyst          |        8.39 |            | closed_on_different_trade_id            |                    |      7.97
(20 rows)

