 id  |  lifecycle_id   |           event_ts            |     stage      |         event_type         |        status         | symbol |        strategy_id         | strategy_family | candidate_id | signal_id | proposal_id | decision_id | paper_trade_id | paper_order_id | broker_order_id | stop_order_id | execution_quality_id | journal_id | backtest_id | agent_owner | raci_responsible | raci_accountable | source_script | source_table | source_pk |                                   payload                                   |          created_at           
-----+-----------------+-------------------------------+----------------+----------------------------+-----------------------+--------+----------------------------+-----------------+--------------+-----------+-------------+-------------+----------------+----------------+-----------------+---------------+----------------------+------------+-------------+-------------+------------------+------------------+---------------+--------------+-----------+-----------------------------------------------------------------------------+-------------------------------
 239 | ca-9            | 2026-05-26 18:14:22.955345-04 | close_review   | mark_closed_outside_system | external_close_marked | INFU   |                            |                 |              |           |             |             |              9 |                |                 |               |                      |            |             |             |                  |                  | api_v2.py     |              |           | {"action": "mark_closed_outside_system", "status": "external_close_marked"} | 2026-05-26 18:14:22.955345-04
 238 | ca-9            | 2026-05-26 18:13:54.681832-04 | close_review   | mark_closed_outside_system | external_close_marked | INFU   |                            |                 |              |           |             |             |              9 |                |                 |               |                      |            |             |             |                  |                  | api_v2.py     |              |           | {"action": "mark_closed_outside_system", "status": "external_close_marked"} | 2026-05-26 18:13:54.681832-04
 237 | ca-9            | 2026-05-26 18:13:54.375247-04 | close_review   | mark_closed_outside_system | external_close_marked | INFU   |                            |                 |              |           |             |             |              9 |                |                 |               |                      |            |             |             |                  |                  | api_v2.py     |              |           | {"action": "mark_closed_outside_system", "status": "external_close_marked"} | 2026-05-26 18:13:54.375247-04
 236 | ca-9            | 2026-05-26 18:13:53.439547-04 | close_review   | mark_closed_outside_system | external_close_marked | INFU   |                            |                 |              |           |             |             |              9 |                |                 |               |                      |            |             |             |                  |                  | api_v2.py     |              |           | {"action": "mark_closed_outside_system", "status": "external_close_marked"} | 2026-05-26 18:13:53.439547-04
 212 | lc-6079567ebb46 | 2026-05-26 16:26:14.550734-04 | stop_placement | initial_stop_set           | active                | CMCSA  | dividend_growth_compounder | income          |              |           |             |             |             33 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 23.61}                                                        | 2026-05-26 16:26:14.551031-04
 208 | lc-bed6d4fef2fe | 2026-05-26 16:26:14.535969-04 | stop_placement | initial_stop_set           | active                | AGNC   | reit_income                | income          |              |           |             |             |             31 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 9.71}                                                         | 2026-05-26 16:26:14.536113-04
 199 | lc-962446d59ed1 | 2026-05-26 16:26:14.499597-04 | stop_placement | initial_stop_set           | active                | ASPN   | swing_trade                | swing           |              |           |             |             |             27 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 5.15}                                                         | 2026-05-26 16:26:14.499902-04
 190 | lc-0ed83c04fd01 | 2026-05-26 16:26:14.461624-04 | stop_placement | initial_stop_set           | active                | INFU   | earnings_catalyst          | swing           |              |           |             |             |             21 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 7.97}                                                         | 2026-05-26 16:26:14.461987-04
 185 | lc-bab95c90ec5e | 2026-05-26 16:26:14.437727-04 | stop_placement | initial_stop_set           | active                | FLYW   | swing_breakout             | swing           |              |           |             |             |             18 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 16.63}                                                        | 2026-05-26 16:26:14.438096-04
 172 | lc-a1735e42b7ba | 2026-05-26 16:26:14.377262-04 | stop_placement | initial_stop_set           | active                | FLYW   | swing_trade                | swing           |              |           |             |             |             11 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 16.63}                                                        | 2026-05-26 16:26:14.377709-04
 166 | lc-1fbe301b41aa | 2026-05-26 16:26:14.343945-04 | stop_placement | initial_stop_set           | active                | INFU   | swing_breakout             | swing           |              |           |             |             |              8 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 7.97}                                                         | 2026-05-26 16:26:14.344426-04
 162 | lc-043b40ce30b5 | 2026-05-26 16:26:14.324691-04 | stop_placement | initial_stop_set           | active                | EVC    | screener                   | unknown         |              |           |             |             |              6 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 7.31}                                                         | 2026-05-26 16:26:14.325068-04
 160 | lc-fcf4d0dedf24 | 2026-05-26 16:26:14.31543-04  | stop_placement | initial_stop_set           | active                | XMTR   | swing_breakout             | swing           |              |           |             |             |              5 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 72.49}                                                        | 2026-05-26 16:26:14.315821-04
 210 | lc-c8d205bf4599 | 2026-05-22 11:30:13.251622-04 | stop_placement | initial_stop_set           | active                | CMCSA  | dividend_growth_compounder | income          |              |           |             |             |             32 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 23.61}                                                        | 2026-05-26 16:26:14.543355-04
 206 | lc-ac578e8df6b4 | 2026-05-22 11:30:08.541774-04 | stop_placement | initial_stop_set           | active                | AGNC   | reit_income                | income          |              |           |             |             |             30 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 9.71}                                                         | 2026-05-26 16:26:14.529693-04
 203 | lc-3003068be17c | 2026-05-22 11:30:05.812707-04 | stop_placement | initial_stop_set           | active                | NVDA   | dividend_growth_compounder | income          |              |           |             |             |             29 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 210.58}                                                       | 2026-05-26 16:26:14.517464-04
 201 | lc-49d066784987 | 2026-05-22 11:30:02.39294-04  | stop_placement | initial_stop_set           | active                | NWG    | dividend_growth_compounder | income          |              |           |             |             |             28 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 15.05}                                                        | 2026-05-26 16:26:14.508312-04
 197 | lc-5536462cfa27 | 2026-05-21 11:51:04.818992-04 | stop_placement | initial_stop_set           | active                | ASPN   | swing_trade                | swing           |              |           |             |             |             26 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 5.15}                                                         | 2026-05-26 16:26:14.491184-04
 195 | lc-179d3d8610af | 2026-05-14 11:14:44.782786-04 | stop_placement | initial_stop_set           | active                | FLYW   | dividend_growth_compounder | income          |              |           |             |             |             24 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 15.48}                                                        | 2026-05-26 16:26:14.482921-04
 192 | lc-552c506e8c16 | 2026-05-13 15:00:01.842098-04 | stop_placement | initial_stop_set           | active                | GCTS   | momentum_scalp             | momentum        |              |           |             |             |             22 |                |                 |               |                      |            |             |             |                  |                  |               |              |           | {"stop_loss": 1.42}                                                         | 2026-05-26 16:26:14.471063-04
(20 rows)

