        strategy_id         | days_active | total_ticker_days | unique_tickers | avg_days_per_ticker | repeat_pct 
----------------------------+-------------+-------------------+----------------+---------------------+------------
 momentum_scalp             |           8 |                45 |             40 |                1.13 |       11.1
 gap_and_go                 |           8 |                30 |             26 |                1.15 |       13.3
 tax_loss_harvest           |           5 |                20 |             16 |                1.25 |       20.0
 income_add                 |           5 |                20 |             16 |                1.25 |       20.0
 recovery_watch             |           5 |                20 |             16 |                1.25 |       20.0
 sector_rotation            |           5 |                20 |             16 |                1.25 |       20.0
 cash_or_stable             |           5 |                20 |             16 |                1.25 |       20.0
 speculative_growth         |           5 |                16 |             12 |                1.33 |       25.0
 swing_breakout             |           5 |                15 |             14 |                1.07 |        6.7
 earnings_catalyst          |           5 |                15 |             14 |                1.07 |        6.7
 high_yield_income_bdc      |           5 |                13 |             11 |                1.18 |       15.4
 swing_trade                |           4 |                 6 |              5 |                1.20 |       16.7
 defense_thesis             |           3 |                 4 |              3 |                1.33 |       25.0
 reit_income                |           3 |                 4 |              3 |                1.33 |       25.0
 international_dividend     |           3 |                 4 |              3 |                1.33 |       25.0
 fib_retracement_bounce     |           1 |                 2 |              2 |                1.00 |        0.0
 earnings_post_momentum     |           1 |                 2 |              2 |                1.00 |        0.0
 earnings_pre_buildup       |           1 |                 2 |              2 |                1.00 |        0.0
 dividend_growth_compounder |           2 |                 2 |              1 |                2.00 |       50.0
(19 rows)

