process_id,oauth_lane_policy,deepseek_default,deepseek_allowed,schema,daily_cost_cap_usd
holding_protection_advisor,grok_only,,,,
holding_protection_advisor_batch,grok_only,,,,
broker_cloud_oversight,both_preferred,,,,
cloud_review,both_preferred,,,,
oauth_lane_keepalive,either,,,,
rotation_grok_review,grok_only,,,,
rotation_oversight,ensemble,,,,
watchlist_cio_synthesis,ensemble,PRO_THINK,FAST_THINK|PRO_THINK|PRO_MAX,cio_synthesis.v1,
watchlist_maria_priority,either,FAST,FAST|FAST_THINK,watch_narrative.v1,5.0
paper_trade_advisory,both_preferred,,,,
hermes_external_research,either,,,,
multi_tier_trade_reviewer,both_preferred,FAST_THINK,FAST_THINK|PRO_THINK,,
reporting_grok_editorial,grok_only,,,,
portfolio_weekly_report,either,,,,
portfolio_monthly_report,either,,,,
directive_keyword_enhancer,ensemble,,,,
think_tank_signal_miner,either,,,,
hermes_scalp_review,either,,,,
portfolio_ask,either,FAST,FAST|FAST_THINK|PRO_THINK,,
journal_ask,either,FAST,FAST|FAST_THINK,,
strategy_planner,either,PRO_THINK,FAST_THINK|PRO_THINK|PRO_MAX,strategy_plan.v1,
options_ensemble,ensemble,,,,
cloud_consensus_verdict,ensemble,,,,
stop_drift_alert,either,,,,
hermes_analyst_coverage,either,,,,
watchlist_entry_planner,either,,,,
grok_execution_review,grok_only,,,,
unregistered,either,,,,
pipeline_health_diagnosis,either,FAST,FAST|FAST_THINK,pipeline_diagnosis.v1,
architecture_review,either,PRO_THINK,PRO_THINK|PRO_MAX,,
