"Positions for account Rollover IRA ...258 as of 10:18 PM ET, 2026/04/30"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Asset Type",
"628518102","MYGO GAMES HLDG CO XXXREGISTRATION REVOKED BY THE SEC EFF: 04/16/21","125","N/A","N/A","N/A","N/A","N/A","N/A","Incomplete","N/A","N/A","N/A","N/A","Equity",
"LPIH","LONGWEI PETE INVT XXXREGISTRATION REVOKED BY THE SEC EFF: 05/11/18","3,000","N/A","N/A","N/A","N/A","N/A","N/A","$4,762.95","N/A","N/A","No","N/A","Equity",
"SRNE","SORRENTO THERAPEUTICS IN","1,000","0.0008","0.00","0%","$0.80","$0.00","0%","$13,177.95","-$13,177.15","-99.99%","No","N/A","Equity",
"V","VISA INC CLASS CLASS A","300.819","329.1937","-0.6463","-0.2%","$99,027.72","-$194.42","-0.2%","$23,942.92","$75,084.80","313.6%","Yes","N/A","Equity",
"ARKG","ARK GENOMIC REVOLUTION ETF","300","30.00","0.13","0.44%","$9,000.00","$39.00","0.44%","$9,801.00","-$801.00","-8.17%","Yes","N/A","ETFs & Closed End Funds",
"BND","VANGUARD TOTAL BOND MARKET INDEX FUND ETF SHARES","370.74","73.55","0.05","0.07%","$27,267.93","$18.54","0.07%","$27,517.96","-$250.03","-0.91%","Yes","N/A","ETFs & Closed End Funds",
"JEPI","JPMORGAN EQUITY PREMIUM INCOME ETF","1,000","57.70","0.11","0.19%","$57,700.00","$110.00","0.19%","$57,550.00","$150.00","0.26%","No","N/A","ETFs & Closed End Funds",
"SCHD","SCHWAB U.S. DIVIDEND EQUITY ETF","4,122.6492","32.0893","0.0193","0.06%","$132,292.93","$79.57","0.06%","$127,953.70","$4,339.23","3.39%","Yes","N/A","ETFs & Closed End Funds",
"SCHG","SCHWAB U.S. LARGE-CAP GROWTH ETF","1,700","33.05","0.14","0.43%","$56,185.00","$238.00","0.43%","$52,379.00","$3,806.00","7.27%","No","N/A","ETFs & Closed End Funds",
"XLB","STATE STREET MATERIALS SELECT SECTOR SPDR ETF","502.1366","51.68","0.21","0.41%","$25,950.42","$105.45","0.41%","$26,799.14","-$848.72","-3.17%","Yes","N/A","ETFs & Closed End Funds",
"XLI","STATE STREET INDUSTRIAL SELECT SECTOR SPDR ETF","200.5499","175.00","0.42","0.24%","$35,096.23","$84.23","0.24%","$35,110.64","-$14.41","-0.04%","Yes","N/A","ETFs & Closed End Funds",
"AMANX","AMANA INCOME INVESTOR","63.184","74.53","0.00","0%","$4,709.10","$0.00","0%","$1,215.90","$3,493.20","287.29%","Yes","Yes","Mutual Fund",
"FCNTX","FIDELITY CONTRAFUND","4,034.942","25.28","0.00","0%","$102,003.33","$0.00","0%","$14,077.56","$87,925.77","624.58%","Yes","Yes","Mutual Fund",
"Cash & Cash Investments","--","--","--","--","--","$16,634.20","$59.47","0.36%","--","--","--","--","--","Cash and Money Market",
"Positions Total","","--","--","--","--","$565,867.66","$539.84","0.1%","$394,288.72","$159,707.69","41%","--","--","--",
