date,year,month,return_pct,cycle_label
1926-07-01,1926,7,3.11,midterm_year
1926-08-01,1926,8,2.89,midterm_year
1926-09-01,1926,9,0.61,midterm_year
1926-10-01,1926,10,-2.95,midterm_year
1926-11-01,1926,11,2.85,midterm_year
1926-12-01,1926,12,2.9,midterm_year
1927-01-01,1927,1,0.2,pre_election_year
1927-02-01,1927,2,4.43,pre_election_year
1927-03-01,1927,3,0.44,pre_election_year
1927-04-01,1927,4,0.72,pre_election_year
1927-05-01,1927,5,5.75,pre_election_year
1927-06-01,1927,6,-2.12,pre_election_year
1927-07-01,1927,7,7.56,pre_election_year
1927-08-01,1927,8,2.27,pre_election_year
1927-09-01,1927,9,4.98,pre_election_year
1927-10-01,1927,10,-4.04,pre_election_year
1927-11-01,1927,11,6.73,pre_election_year
1927-12-01,1927,12,2.31,pre_election_year
1928-01-01,1928,1,-0.32,election_year
1928-02-01,1928,2,-1.36,election_year
1928-03-01,1928,3,9.08,election_year
1928-04-01,1928,4,4.47,election_year
1928-05-01,1928,5,1.84,election_year
1928-06-01,1928,6,-4.59,election_year
1928-07-01,1928,7,0.95,election_year
1928-08-01,1928,8,7.01,election_year
1928-09-01,1928,9,3.14,election_year
1928-10-01,1928,10,1.72,election_year
1928-11-01,1928,11,12.2,election_year
1928-12-01,1928,12,0.46,election_year
1929-01-01,1929,1,5.0,post_election_year
1929-02-01,1929,2,0.02,post_election_year
1929-03-01,1929,3,-0.51,post_election_year
1929-04-01,1929,4,1.83,post_election_year
1929-05-01,1929,5,-5.94,post_election_year
1929-06-01,1929,6,10.22,post_election_year
1929-07-01,1929,7,4.81,post_election_year
1929-08-01,1929,8,8.54,post_election_year
1929-09-01,1929,9,-5.1,post_election_year
1929-10-01,1929,10,-19.61,post_election_year
1929-11-01,1929,11,-12.5,post_election_year
1929-12-01,1929,12,1.65,post_election_year
1930-01-01,1930,1,5.75,midterm_year
1930-02-01,1930,2,2.8,midterm_year
1930-03-01,1930,3,7.44,midterm_year
1930-04-01,1930,4,-1.84,midterm_year
1930-05-01,1930,5,-1.4,midterm_year
1930-06-01,1930,6,-15.81,midterm_year
1930-07-01,1930,7,4.32,midterm_year
1930-08-01,1930,8,0.39,midterm_year
1930-09-01,1930,9,-12.59,midterm_year
1930-10-01,1930,10,-8.69,midterm_year
1930-11-01,1930,11,-2.91,midterm_year
1930-12-01,1930,12,-7.72,midterm_year
1931-01-01,1931,1,6.4,pre_election_year
1931-02-01,1931,2,10.92,pre_election_year
1931-03-01,1931,3,-6.22,pre_election_year
1931-04-01,1931,4,-9.92,pre_election_year
1931-05-01,1931,5,-13.2,pre_election_year
1931-06-01,1931,6,14.01,pre_election_year
1931-07-01,1931,7,-6.57,pre_election_year
1931-08-01,1931,8,0.43,pre_election_year
1931-09-01,1931,9,-28.71,pre_election_year
1931-10-01,1931,10,8.09,pre_election_year
1931-11-01,1931,11,-8.97,pre_election_year
1931-12-01,1931,12,-13.4,pre_election_year
1932-01-01,1932,1,-1.34,election_year
1932-02-01,1932,2,5.68,election_year
1932-03-01,1932,3,-11.14,election_year
1932-04-01,1932,4,-17.83,election_year
1932-05-01,1932,5,-20.45,election_year
1932-06-01,1932,6,-0.75,election_year
1932-07-01,1932,7,33.63,election_year
1932-08-01,1932,8,37.15,election_year
1932-09-01,1932,9,-2.91,election_year
1932-10-01,1932,10,-13.13,election_year
1932-11-01,1932,11,-5.86,election_year
1932-12-01,1932,12,4.43,election_year
1933-01-01,1933,1,1.25,post_election_year
1933-02-01,1933,2,-15.32,post_election_year
1933-03-01,1933,3,3.1,post_election_year
1933-04-01,1933,4,38.91,post_election_year
1933-05-01,1933,5,21.47,post_election_year
1933-06-01,1933,6,13.12,post_election_year
1933-07-01,1933,7,-9.62,post_election_year
1933-08-01,1933,8,12.07,post_election_year
1933-09-01,1933,9,-10.63,post_election_year
1933-10-01,1933,10,-8.35,post_election_year
1933-11-01,1933,11,9.99,post_election_year
1933-12-01,1933,12,1.84,post_election_year
1934-01-01,1934,1,12.65,midterm_year
1934-02-01,1934,2,-2.49,midterm_year
1934-03-01,1934,3,0.11,midterm_year
1934-04-01,1934,4,-1.78,midterm_year
1934-05-01,1934,5,-7.25,midterm_year
1934-06-01,1934,6,2.72,midterm_year
1934-07-01,1934,7,-10.93,midterm_year
1934-08-01,1934,8,5.59,midterm_year
1934-09-01,1934,9,-0.23,midterm_year
1934-10-01,1934,10,-1.65,midterm_year
1934-11-01,1934,11,8.34,midterm_year
1934-12-01,1934,12,0.37,midterm_year
1935-01-01,1935,1,-3.45,pre_election_year
1935-02-01,1935,2,-1.94,pre_election_year
1935-03-01,1935,3,-3.7,pre_election_year
1935-04-01,1935,4,9.07,pre_election_year
1935-05-01,1935,5,3.47,pre_election_year
1935-06-01,1935,6,5.94,pre_election_year
1935-07-01,1935,7,7.55,pre_election_year
1935-08-01,1935,8,2.66,pre_election_year
1935-09-01,1935,9,2.63,pre_election_year
1935-10-01,1935,10,7.04,pre_election_year
1935-11-01,1935,11,4.89,pre_election_year
1935-12-01,1935,12,4.56,pre_election_year
1936-01-01,1936,1,6.9,election_year
1936-02-01,1936,2,2.5,election_year
1936-03-01,1936,3,0.98,election_year
1936-04-01,1936,4,-8.12,election_year
1936-05-01,1936,5,5.21,election_year
1936-06-01,1936,6,2.43,election_year
1936-07-01,1936,7,6.69,election_year
1936-08-01,1936,8,1.01,election_year
1936-09-01,1936,9,0.98,election_year
1936-10-01,1936,10,7.12,election_year
1936-11-01,1936,11,3.27,election_year
1936-12-01,1936,12,0.2,election_year
1937-01-01,1937,1,3.36,post_election_year
1937-02-01,1937,2,1.1,post_election_year
1937-03-01,1937,3,-0.25,post_election_year
1937-04-01,1937,4,-7.33,post_election_year
1937-05-01,1937,5,-0.77,post_election_year
1937-06-01,1937,6,-4.2,post_election_year
1937-07-01,1937,7,8.94,post_election_year
1937-08-01,1937,8,-4.86,post_election_year
1937-09-01,1937,9,-13.58,post_election_year
1937-10-01,1937,10,-9.57,post_election_year
1937-11-01,1937,11,-8.31,post_election_year
1937-12-01,1937,12,-4.29,post_election_year
1938-01-01,1938,1,0.48,midterm_year
1938-02-01,1938,2,5.85,midterm_year
1938-03-01,1938,3,-23.92,midterm_year
1938-04-01,1938,4,14.49,midterm_year
1938-05-01,1938,5,-3.86,midterm_year
1938-06-01,1938,6,23.89,midterm_year
1938-07-01,1938,7,7.32,midterm_year
1938-08-01,1938,8,-2.68,midterm_year
1938-09-01,1938,9,0.85,midterm_year
1938-10-01,1938,10,7.81,midterm_year
1938-11-01,1938,11,-1.8,midterm_year
1938-12-01,1938,12,4.16,midterm_year
1939-01-01,1939,1,-5.98,pre_election_year
1939-02-01,1939,2,3.52,pre_election_year
1939-03-01,1939,3,-12.04,pre_election_year
1939-04-01,1939,4,-0.18,pre_election_year
1939-05-01,1939,5,6.82,pre_election_year
1939-06-01,1939,6,-5.32,pre_election_year
1939-07-01,1939,7,10.22,pre_election_year
1939-08-01,1939,8,-6.69,pre_election_year
1939-09-01,1939,9,16.9,pre_election_year
1939-10-01,1939,10,-0.53,pre_election_year
1939-11-01,1939,11,-3.65,pre_election_year
1939-12-01,1939,12,2.93,pre_election_year
1940-01-01,1940,1,-2.41,election_year
1940-02-01,1940,2,1.44,election_year
1940-03-01,1940,3,2.05,election_year
