Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst
RPAY,45,A,GO,103.6,4.11,+29.3,+0.0,65.1,"Repay Shareholder Forager Capital Management Proposes to Acquire Company; Shares"
FRMM,41,A,GO,26.4,3.03,+27.9,+0.0,9.1,"Benchmark Flags Forum Markets; Incorporated (FRMM) Exposure to Expanding RWA Tok"
CRML,40,A,GO,16.3,12.29,+32.6,+0.0,62.8,"Greenland Government Approves Transfer of Final 50.5% of Tanbreez; Taking Critic"
BIRD,39,B,WAIT,13.8,11.88,+8.9,+0.0,5.5,"Is Allbirds; Inc. (BIRD) Outperforming Other Retail-Wholesale Stocks This Year?"
BZAI,38,B,WAIT,14.9,2.02,+17.0,+0.0,83.2,"Blaize Holdings And NeoTensr Announce Up To $50M Contract To Jointly Develop And"
WSHP,37,B,WAIT,237.3,16.24,+13.8,+0.0,1.3,"Stay updated with the stocks that are on the move in today's pre-market session."
DARE,34,B,WAIT,373.1,3.13,+15.1,+0.0,13.3,"12 Health Care Stocks Moving In Thursday's After-Market Session"
MYSE,33,B,WAIT,308.8,3.57,+8.2,+0.0,4.0,"Massimo Group (MAMO) Stock Jumps Nearly 39% After Hours: Here's What You Should "
VIVO,33,B,WAIT,5.3,3.25,+15.2,+0.0,9.9,""
FLYX,32,B,WAIT,15.1,3.07,-1.4,+0.0,1.0,"12 Industrials Stocks Moving In Thursday's After-Market Session"
PBM,32,B,WAIT,23.3,8.20,+39.7,+0.0,0.2,"Psyence BioMed Welcomes U.S. Executive Action to Advance Research into Ibogaine"
LZM,31,B,WAIT,11.2,5.15,+32.5,+0.0,32.2,"Stay updated with the stocks that are on the move in today's pre-market session."
